T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2021,GDP in current prices (millions of US dollars),"2,726,643",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP per capita (US dollars),836,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP per capita (US dollars),"1,263",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP per capita (US dollars),"1,929",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP per capita (US dollars),"2,007",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP per capita (US dollars),"1,939",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2020,GDP per capita (US dollars),"1,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2021,GDP per capita (US dollars),"1,959",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),"984,606",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),"1,533,871",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,995,546",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),"2,407,357",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP in constant 2015 prices (millions of US dollars),"2,672,971",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),"2,602,636",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2021,GDP in constant 2015 prices (millions of US dollars),"2,738,166",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
