T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
143,Central Asia,1995,GDP real rates of growth (percent),-6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2005,GDP real rates of growth (percent),9.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2010,GDP real rates of growth (percent),8.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2015,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2019,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2020,GDP real rates of growth (percent),-1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
143,Central Asia,2021,GDP real rates of growth (percent),5.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,1995,GDP in current prices (millions of US dollars),"7,283,959",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2005,GDP in current prices (millions of US dollars),"8,636,076",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2010,GDP in current prices (millions of US dollars),"13,712,623",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2015,GDP in current prices (millions of US dollars),"17,889,125",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2019,GDP in current prices (millions of US dollars),"22,114,696",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2020,GDP in current prices (millions of US dollars),"22,441,091",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2021,GDP in current prices (millions of US dollars),"25,691,483",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,1995,GDP per capita (US dollars),"5,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2005,GDP per capita (US dollars),"5,618",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2010,GDP per capita (US dollars),"8,663",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2015,GDP per capita (US dollars),"10,966",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2019,GDP per capita (US dollars),"13,322",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2020,GDP per capita (US dollars),"13,496",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2021,GDP per capita (US dollars),"15,446",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,1995,GDP in constant 2015 prices (millions of US dollars),"6,641,899",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2005,GDP in constant 2015 prices (millions of US dollars),"10,311,021",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2010,GDP in constant 2015 prices (millions of US dollars),"13,827,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2015,GDP in constant 2015 prices (millions of US dollars),"17,889,125",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2019,GDP in constant 2015 prices (millions of US dollars),"21,513,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2020,GDP in constant 2015 prices (millions of US dollars),"21,585,853",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2021,GDP in constant 2015 prices (millions of US dollars),"22,974,848",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,1995,GDP real rates of growth (percent),5.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2010,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2015,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2019,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2020,GDP real rates of growth (percent),0.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
30,Eastern Asia,2021,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,1995,GDP in current prices (millions of US dollars),"707,750",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2005,GDP in current prices (millions of US dollars),"964,496",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2010,GDP in current prices (millions of US dollars),"2,024,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2015,GDP in current prices (millions of US dollars),"2,528,008",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2019,GDP in current prices (millions of US dollars),"3,250,764",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2020,GDP in current prices (millions of US dollars),"3,086,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2021,GDP in current prices (millions of US dollars),"3,342,329",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,1995,GDP per capita (US dollars),"1,462",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2005,GDP per capita (US dollars),"1,715",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2010,GDP per capita (US dollars),"3,376",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2015,GDP per capita (US dollars),"3,971",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2019,GDP per capita (US dollars),"4,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2020,GDP per capita (US dollars),"4,605",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2021,GDP per capita (US dollars),"4,946",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,018,264",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,490,186",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2010,GDP in constant 2015 prices (millions of US dollars),"1,972,753",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2015,GDP in constant 2015 prices (millions of US dollars),"2,528,008",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2019,GDP in constant 2015 prices (millions of US dollars),"3,071,900",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2020,GDP in constant 2015 prices (millions of US dollars),"2,953,489",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2021,GDP in constant 2015 prices (millions of US dollars),"3,051,055",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,1995,GDP real rates of growth (percent),7.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2005,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2010,GDP real rates of growth (percent),8.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2015,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2019,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2020,GDP real rates of growth (percent),-3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
35,South-eastern Asia,2021,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,1995,GDP in current prices (millions of US dollars),"624,719",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2005,GDP in current prices (millions of US dollars),"1,272,672",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2010,GDP in current prices (millions of US dollars),"2,593,394",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2015,GDP in current prices (millions of US dollars),"3,218,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2019,GDP in current prices (millions of US dollars),"4,156,702",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2020,GDP in current prices (millions of US dollars),"4,023,206",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2021,GDP in current prices (millions of US dollars),"4,698,012",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,1995,GDP per capita (US dollars),468,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2005,GDP per capita (US dollars),790,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2010,GDP per capita (US dollars),"1,494",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2015,GDP per capita (US dollars),"1,733",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2019,GDP per capita (US dollars),"2,134",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2020,GDP per capita (US dollars),"2,043",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2021,GDP per capita (US dollars),"2,361",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,046,343",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,799,051",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2010,GDP in constant 2015 prices (millions of US dollars),"2,459,324",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2015,GDP in constant 2015 prices (millions of US dollars),"3,218,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2019,GDP in constant 2015 prices (millions of US dollars),"4,001,500",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2020,GDP in constant 2015 prices (millions of US dollars),"3,834,870",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2021,GDP in constant 2015 prices (millions of US dollars),"4,125,616",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,1995,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2005,GDP real rates of growth (percent),7.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2010,GDP real rates of growth (percent),7.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2015,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2019,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2020,GDP real rates of growth (percent),-4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
34,Southern Asia,2021,GDP real rates of growth (percent),7.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,1995,GDP in current prices (millions of US dollars),"662,806",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2005,GDP in current prices (millions of US dollars),"1,518,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2010,GDP in current prices (millions of US dollars),"2,566,809",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2015,GDP in current prices (millions of US dollars),"2,975,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2019,GDP in current prices (millions of US dollars),"3,310,066",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2020,GDP in current prices (millions of US dollars),"2,956,983",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2021,GDP in current prices (millions of US dollars),"3,433,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,1995,GDP per capita (US dollars),"3,894",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2005,GDP per capita (US dollars),"7,248",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2010,GDP per capita (US dollars),"10,772",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2015,GDP per capita (US dollars),"11,253",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2019,GDP per capita (US dollars),"11,706",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2020,GDP per capita (US dollars),"10,329",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2021,GDP per capita (US dollars),"11,865",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,1995,GDP in constant 2015 prices (millions of US dollars),"1,223,884",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2005,GDP in constant 2015 prices (millions of US dollars),"1,916,719",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2010,GDP in constant 2015 prices (millions of US dollars),"2,340,873",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2015,GDP in constant 2015 prices (millions of US dollars),"2,975,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2019,GDP in constant 2015 prices (millions of US dollars),"3,279,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2020,GDP in constant 2015 prices (millions of US dollars),"3,175,176",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2021,GDP in constant 2015 prices (millions of US dollars),"3,371,648",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,1995,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2005,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2010,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2015,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2019,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2020,GDP real rates of growth (percent),-3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
145,Western Asia,2021,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,1995,GDP in current prices (millions of US dollars),"10,646,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2005,GDP in current prices (millions of US dollars),"16,133,739",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2010,GDP in current prices (millions of US dollars),"19,903,672",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2015,GDP in current prices (millions of US dollars),"19,191,354",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2019,GDP in current prices (millions of US dollars),"21,741,278",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2020,GDP in current prices (millions of US dollars),"21,034,827",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2021,GDP in current prices (millions of US dollars),"23,816,167",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,1995,GDP per capita (US dollars),"14,608",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2005,GDP per capita (US dollars),"22,081",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2010,GDP per capita (US dollars),"26,967",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2015,GDP per capita (US dollars),"25,795",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2019,GDP per capita (US dollars),"29,060",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2020,GDP per capita (US dollars),"28,114",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2021,GDP per capita (US dollars),"31,875",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,1995,GDP in constant 2015 prices (millions of US dollars),"13,323,775",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2005,GDP in constant 2015 prices (millions of US dollars),"17,057,573",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2010,GDP in constant 2015 prices (millions of US dollars),"18,055,978",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2015,GDP in constant 2015 prices (millions of US dollars),"19,191,354",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2019,GDP in constant 2015 prices (millions of US dollars),"20,848,306",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2020,GDP in constant 2015 prices (millions of US dollars),"19,589,482",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2021,GDP in constant 2015 prices (millions of US dollars),"20,678,071",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,1995,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2005,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2010,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2015,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2019,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2020,GDP real rates of growth (percent),-6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
150,Europe,2021,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,1995,GDP in current prices (millions of US dollars),"794,458",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2005,GDP in current prices (millions of US dollars),"1,629,410",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2010,GDP in current prices (millions of US dollars),"2,868,792",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2015,GDP in current prices (millions of US dollars),"2,626,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2019,GDP in current prices (millions of US dollars),"3,361,627",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2020,GDP in current prices (millions of US dollars),"3,150,109",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2021,GDP in current prices (millions of US dollars),"3,688,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,1995,GDP per capita (US dollars),"2,563",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2005,GDP per capita (US dollars),"5,470",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2010,GDP per capita (US dollars),"9,734",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
151,Eastern Europe,2015,GDP per capita (US dollars),"8,928",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
